age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,0,77516,13,7,14,5,1,0,2174,0,40,41,0
50,1,83311,13,1,1,1,1,0,0,0,13,41,0
38,2,215646,9,2,2,5,1,0,0,0,40,41,0
53,2,234721,7,1,2,1,2,0,0,0,40,41,0
28,2,338409,13,1,3,2,2,1,0,0,40,1,0
37,2,284582,14,1,1,2,1,1,0,0,40,41,0
49,2,160187,5,3,4,5,2,1,0,0,16,2,0
52,1,209642,9,1,1,1,1,0,0,0,45,41,1
31,2,45781,14,7,3,5,1,1,14084,0,50,41,1
42,2,159449,13,1,1,1,1,0,5178,0,40,41,1
37,2,280464,10,1,1,1,2,0,0,0,80,41,1
30,0,141297,13,1,3,1,3,0,0,0,40,3,1
23,2,122272,13,7,14,3,1,1,0,0,30,41,0
32,2,205019,12,7,5,5,2,0,0,0,50,41,0
34,2,245487,4,1,6,1,4,0,0,0,45,4,0
25,1,176756,9,7,7,3,1,0,0,0,35,41,0
32,2,186824,9,7,8,4,1,0,0,0,40,41,0
38,2,28887,7,1,5,1,1,0,0,0,50,41,0
43,1,292175,14,2,1,4,1,1,0,0,45,41,1
40,2,193524,16,1,3,1,1,0,0,0,60,41,1
54,2,302146,9,4,4,4,2,1,0,0,20,41,0
35,3,76845,5,1,7,1,2,0,0,0,40,41,0
43,2,117037,7,1,6,1,1,0,0,2042,40,41,0
59,2,109015,9,2,9,4,1,1,0,0,40,41,0
56,4,216851,13,1,9,1,1,0,0,0,40,41,1
19,2,168294,9,7,10,3,1,0,0,0,40,41,0
39,2,367260,9,2,1,5,1,0,0,0,80,41,0
49,2,193366,9,1,10,1,1,0,0,0,40,41,0
23,4,190709,12,7,11,5,1,0,0,0,52,41,0
20,2,266015,10,7,5,3,2,0,0,0,44,41,0
45,2,386940,13,2,1,3,1,0,0,1408,40,41,0
30,3,59951,10,1,14,3,1,0,0,0,40,41,0
22,0,311512,10,1,4,1,2,0,0,0,15,41,0
48,2,242406,7,7,8,4,1,0,0,0,40,5,0
21,2,197200,10,7,8,3,1,0,0,0,40,41,0
19,2,544091,9,5,14,2,1,1,0,0,25,41,0
48,1,265477,12,1,3,1,1,0,0,0,40,41,0
31,2,507875,5,1,8,1,1,0,0,0,43,41,0
53,1,88506,13,1,3,1,1,0,0,0,40,41,0
24,2,172987,13,1,9,1,1,0,0,0,50,41,0
49,2,94638,9,4,14,4,1,1,0,0,40,41,0
25,2,289980,9,7,2,5,1,0,0,0,35,41,0
57,3,337895,13,1,3,1,2,0,0,0,40,41,1
53,2,144361,9,1,8,1,1,0,0,0,38,41,0
44,2,128354,14,2,1,4,1,1,0,0,40,41,0
41,0,101603,11,1,10,1,1,0,0,0,40,41,0
29,2,271466,11,7,3,5,1,0,0,0,43,41,0
25,2,32275,10,1,1,2,5,1,0,0,40,41,0
47,2,51835,15,1,3,2,1,1,0,1902,60,6,1
50,3,251585,13,2,1,5,1,0,0,0,55,41,1
47,5,109832,9,2,1,5,1,0,0,0,60,41,0
43,2,237993,10,1,9,1,1,0,0,0,40,41,1
46,2,216666,3,1,8,1,1,0,0,0,40,4,0
35,2,56352,11,1,4,1,1,0,0,0,40,5,0
41,2,147372,9,1,14,1,1,0,0,0,48,41,0
30,2,188146,9,1,8,1,1,0,5013,0,40,41,0
30,2,59496,13,1,5,1,1,0,2407,0,40,41,0
48,2,149640,9,1,6,1,1,0,0,0,40,41,0
42,2,116632,16,1,3,1,1,0,0,0,45,41,1
29,2,105598,10,2,9,5,1,0,0,0,58,41,0
36,2,155537,9,1,10,1,1,0,0,0,40,41,0
28,2,183175,10,2,14,5,1,1,0,0,40,41,0
53,2,169846,9,1,14,2,1,1,0,0,40,41,1
49,5,191681,10,1,1,1,1,0,0,0,50,41,1
19,2,101509,10,7,3,3,1,0,0,0,32,41,0
31,2,309974,13,4,5,3,2,1,0,0,40,41,0
29,1,162298,13,1,5,1,1,0,0,0,70,41,1
23,2,211678,10,7,8,5,1,0,0,0,40,41,0
79,2,124744,10,1,3,4,1,0,0,0,20,41,0
27,2,213921,9,7,4,3,1,0,0,0,40,4,0
40,2,32214,12,1,14,1,1,0,0,0,40,41,0
18,2,309634,7,7,4,3,1,1,0,0,22,41,0
31,4,125927,4,1,7,1,1,0,0,0,40,41,0
18,2,446839,9,7,5,5,1,0,0,0,30,41,0
52,2,276515,13,1,4,1,1,0,0,0,40,1,0
46,2,51618,9,1,4,2,1,1,0,0,40,41,0
59,2,159937,9,1,5,1,1,0,0,0,48,41,0
44,2,343591,9,2,10,5,1,1,14344,0,40,41,1
53,2,346253,9,2,5,3,1,1,0,0,35,41,0
49,4,268234,9,1,11,1,1,0,0,0,40,41,1
33,2,202051,14,1,3,1,1,0,0,0,50,41,0
30,2,54334,5,7,5,5,1,0,0,0,40,41,0
43,3,410867,16,7,3,5,1,1,0,0,50,41,1
57,2,249977,11,1,3,1,1,0,0,0,40,41,0
37,2,286730,10,2,10,4,1,1,0,0,40,41,0
28,2,212563,10,2,8,4,2,1,0,0,25,41,0
34,4,226296,13,1,11,1,1,0,0,0,40,41,1
29,4,115585,10,7,2,5,1,0,0,0,50,41,0
48,1,191277,16,1,3,1,1,0,0,1902,60,41,1
37,2,202683,10,1,5,1,1,0,0,0,48,41,1
48,2,171095,12,2,1,4,1,1,0,0,40,7,0
32,3,249409,9,7,4,3,2,0,0,0,40,41,0
76,2,124191,14,1,1,1,1,0,0,0,40,41,1
44,2,198282,13,1,1,1,1,0,15024,0,60,41,1
47,1,149116,14,7,3,5,1,1,0,0,50,41,0
20,2,188300,10,7,9,3,1,1,0,0,40,41,0
29,2,103432,9,7,10,5,1,0,0,0,40,41,0
32,5,317660,9,1,10,1,1,0,7688,0,40,41,1
30,2,194901,7,7,2,3,1,0,0,0,40,41,0
31,4,189265,9,7,14,5,1,1,0,0,40,41,0
42,2,124692,9,1,2,1,1,0,0,0,40,41,0
24,2,432376,13,7,5,4,1,0,0,0,40,41,0
38,2,65324,15,1,3,1,1,0,0,0,40,41,1
56,1,335605,9,1,4,1,1,0,0,1887,50,8,1
28,2,377869,10,1,5,2,1,1,4064,0,25,41,0
36,2,102864,9,7,8,3,1,1,0,0,40,41,0
53,2,95647,5,1,2,1,1,0,0,0,50,41,0
56,5,303090,10,1,5,1,1,0,0,0,50,41,0
49,4,197371,11,1,10,1,2,0,0,0,40,41,1
55,2,247552,10,1,5,1,1,0,0,0,56,41,0
22,2,102632,9,7,10,5,1,0,0,0,41,41,0
21,2,199915,10,7,4,3,1,1,0,0,40,41,0
40,2,118853,13,1,1,1,1,0,0,0,60,41,0
30,2,77143,13,7,1,3,2,0,0,0,40,9,0
29,0,267989,13,1,3,1,1,0,0,0,50,41,1
19,2,301606,10,7,4,3,2,0,0,0,35,41,0
47,2,287828,13,1,1,2,1,1,0,0,40,41,1
20,2,111697,10,7,14,3,1,1,0,1719,28,41,0
31,2,114937,12,1,14,1,1,0,0,0,40,41,1
39,2,365739,10,2,10,5,1,0,0,0,40,41,0
28,2,69621,12,7,5,5,1,1,0,0,60,41,0
24,2,43323,9,7,4,5,1,1,0,1762,40,41,0
38,1,120985,9,1,10,1,1,0,4386,0,35,41,0
37,2,254202,13,1,5,1,1,0,0,0,50,41,0
46,2,146195,12,2,9,5,2,1,0,0,36,41,0
38,3,125933,14,1,3,1,1,0,0,0,40,10,1
43,1,56920,9,1,10,1,1,0,0,0,60,41,0
27,2,163127,11,1,14,2,1,1,0,0,35,41,0
20,2,34310,10,7,5,3,1,0,0,0,20,41,0
49,2,81973,10,1,10,1,3,0,0,0,40,41,1
61,5,66614,9,1,10,1,1,0,0,0,40,41,0
27,2,232782,10,7,5,3,1,1,0,0,40,41,0
19,2,316868,10,7,4,3,1,0,0,0,30,4,0
45,2,196584,11,7,3,5,1,1,0,1564,40,41,1
70,2,105376,10,7,9,4,1,0,0,0,40,41,0
31,2,185814,9,7,6,4,2,1,0,0,30,41,0
22,2,175374,10,1,4,1,1,0,0,0,24,41,0
36,2,108293,9,6,4,4,1,1,0,0,24,41,0
64,2,181232,7,1,10,1,1,0,0,2179,40,41,0
47,4,186009,10,2,14,4,1,1,0,0,38,4,0
34,2,198183,9,7,14,5,1,1,0,0,40,41,0
33,2,163003,13,7,1,4,3,1,0,0,40,11,0
21,2,296158,9,7,10,3,1,0,0,0,35,41,0
48,2,187715,9,1,10,1,1,0,0,0,46,41,0
23,2,214542,13,7,2,5,1,0,0,0,40,41,0
71,1,494223,10,4,5,4,2,0,0,1816,2,41,0
29,2,191535,9,2,10,5,1,0,0,0,60,41,0
42,2,228456,13,4,4,4,2,0,0,0,50,41,0
25,2,252752,9,7,4,4,1,1,0,0,40,41,0
44,5,78374,14,2,1,4,3,1,0,0,40,41,0
28,2,88419,9,7,1,5,3,1,0,0,40,7,0
45,1,201080,14,1,5,1,1,0,0,0,40,41,1
36,2,207157,10,2,4,4,1,1,0,0,40,4,0
39,3,235485,12,7,1,5,1,0,0,0,42,41,0
46,0,102628,14,6,11,4,1,0,0,0,40,41,0
18,2,25828,7,7,2,3,1,0,0,0,16,41,0
66,4,54826,11,6,3,5,1,1,0,0,20,41,0
27,2,124953,9,7,4,5,1,0,0,1980,40,41,0
28,0,175325,9,1,11,1,1,0,0,0,40,41,0
51,2,96062,10,1,5,1,1,0,0,1977,40,41,1
27,2,428030,13,7,10,5,1,0,0,0,50,41,0
28,0,149624,13,1,3,1,1,0,0,0,40,41,1
27,2,253814,9,3,5,4,1,1,0,0,25,41,0
21,2,312956,9,7,10,3,2,0,0,0,40,41,0
34,2,483777,9,7,2,5,2,0,0,0,40,41,0
18,2,183930,9,7,4,3,1,0,0,0,12,41,0
33,2,37274,13,1,3,1,1,0,0,0,65,41,0
44,4,181344,10,1,1,1,2,0,0,0,38,41,1
43,2,114580,10,2,14,5,1,1,0,0,40,41,0
30,2,633742,10,7,10,5,2,0,0,0,45,41,0
40,2,286370,4,1,8,1,1,0,0,0,40,4,1
37,3,29054,10,1,14,1,1,0,0,0,42,41,1
34,2,304030,9,1,14,1,2,0,0,0,40,41,0
41,1,143129,13,2,1,5,1,1,0,0,40,41,0
31,2,99928,14,1,3,2,1,1,0,0,50,41,0
58,0,109567,16,1,3,1,1,0,0,0,1,41,1
38,2,155222,10,2,8,5,2,1,0,0,28,41,0
24,2,159567,10,1,8,1,1,0,0,0,40,41,0
41,4,523910,13,1,10,1,2,0,0,0,40,41,0
47,2,120939,10,1,9,1,1,0,0,0,45,41,0
41,3,130760,13,1,9,1,1,0,0,0,24,41,0
23,2,197387,3,1,6,4,1,0,0,0,40,4,0
36,2,99374,10,2,10,5,1,0,0,0,40,41,0
40,3,56795,14,7,1,5,1,1,14084,0,55,41,1
35,2,138992,14,1,3,4,1,0,7298,0,40,41,1
24,1,32921,9,7,5,5,1,0,0,0,40,41,0
26,2,397317,14,7,3,5,1,1,0,1876,40,41,0
51,2,259323,13,1,1,1,1,0,0,0,50,41,1
42,4,254817,10,7,3,5,1,1,0,1340,40,41,0
37,0,48211,9,2,14,4,1,1,0,0,35,41,0
18,2,140164,7,7,5,3,1,1,0,0,40,41,0
36,2,128757,13,1,4,1,2,0,7298,0,36,41,1
35,2,36270,9,2,10,5,1,0,0,0,60,41,0
58,5,210563,9,1,5,2,1,1,15024,0,35,41,1
17,2,65368,7,7,5,3,1,1,0,0,12,41,0
44,4,160943,9,1,6,1,2,0,0,0,40,41,0
37,2,208358,9,1,10,1,1,0,0,0,40,41,1
35,2,153790,10,7,5,5,4,1,0,0,40,41,0
60,2,85815,9,1,10,1,3,0,0,0,40,41,0
54,5,125417,4,1,8,1,1,0,0,0,40,41,1
37,2,635913,13,7,1,5,2,0,0,0,60,41,1
50,2,313321,12,2,5,5,1,1,0,0,40,41,0
38,2,182609,13,1,5,1,1,0,0,0,50,12,0
45,2,109434,13,1,3,1,1,0,0,0,55,41,0
25,2,255004,6,7,10,5,1,0,0,0,40,41,0
31,2,197860,10,1,2,1,1,0,0,0,40,41,0
90,2,51744,9,7,4,5,2,0,0,2206,40,41,0
54,2,176681,9,1,14,1,2,0,0,0,20,41,0
53,4,140359,1,7,8,5,1,1,0,0,35,41,0
18,2,243313,9,7,5,3,1,1,0,0,40,41,0
66,1,167687,9,1,7,1,1,0,1409,0,50,41,0
75,2,314209,11,6,14,5,1,1,0,0,20,13,0
65,2,176796,9,2,14,5,1,1,0,0,40,41,0
35,2,538583,7,4,6,5,2,0,3674,0,40,41,0
41,2,130408,9,2,5,4,2,1,0,0,38,41,0
25,2,159732,10,7,14,5,1,0,0,0,42,41,0
33,2,110978,10,2,10,4,5,1,0,0,40,41,0
28,2,76714,15,7,3,5,1,0,0,0,55,41,1
59,0,268700,9,1,4,1,1,0,0,0,40,41,0
40,0,170525,10,7,14,5,1,1,0,0,38,41,0
